"","x"
"1",6
"2",6
"3",6
"4",6
"5",6
"6",6
"7",6
"8",6
"9",6
"10",6
"11",6
"12",6
"13",6
"14",6
"15",6
"16",6
"17",6
"18",6
"19",6
"20",6
"21",6
"22",6
"23",6
"24",6
"25",6
"26",6
"27",6
"28",6
"29",6
"30",6
"31",5
"32",5
"33",5
"34",5
"35",5
"36",5
"37",5
"38",5
"39",5
"40",5
"41",5
"42",5
"43",5
"44",5
"45",5
"46",5
"47",5
"48",5
"49",5
"50",5
"51",5
"52",5
"53",5
"54",5
"55",6
"56",6
"57",6
"58",6
"59",6
"60",6
"61",6
"62",6
"63",6
"64",6
"65",6
"66",6
"67",6
"68",6
"69",6
"70",6
"71",6
"72",6
"73",6
"74",6
"75",6
"76",6
"77",6
"78",6
"79",6
"80",6
"81",6
"82",6
"83",6
"84",6
"85",6
"86",6
"87",6
"88",6
"89",6
"90",6
"91",6
"92",6
"93",6
"94",6
"95",6
"96",6
"97",6
"98",6
"99",6
"100",6
"101",6
"102",6
"103",6
"104",6
"105",6
"106",6
"107",6
"108",6
"109",6
"110",6
"111",6
"112",6
"113",6
"114",8
"115",8
"116",8
"117",8
"118",8
"119",8
"120",8
"121",8
"122",8
"123",8
"124",8
"125",8
"126",8
"127",8
"128",8
"129",8
"130",8
"131",8
"132",8
"133",8
"134",8
"135",8
"136",8
"137",8
"138",8
"139",8
"140",8
"141",6
"142",6
"143",6
"144",6
"145",6
"146",6
"147",6
"148",6
"149",6
"150",6
"151",6
"152",6
"153",6
"154",6
"155",6
"156",6
"157",6
"158",6
"159",6
"160",6
"161",6
"162",6
"163",6
"164",6
"165",6
"166",6
"167",6
"168",6
"169",6
"170",6
"171",6
"172",6
"173",6
"174",6
"175",6
"176",6
"177",6
"178",6
"179",6
"180",6
"181",6
"182",6
"183",6
"184",6
"185",6
"186",6
"187",6
"188",6
"189",6
"190",6
"191",8
"192",8
"193",8
"194",8
"195",8
"196",8
"197",8
"198",8
"199",8
"200",8
"201",8
"202",8
"203",8
"204",8
"205",8
"206",8
"207",8
"208",8
"209",8
"210",8
"211",8
"212",8
"213",8
"214",8
"215",8
"216",7
"217",7
"218",7
"219",7
"220",7
"221",7
"222",7
"223",7
"224",7
"225",7
"226",7
"227",7
"228",7
"229",7
"230",7
"231",7
"232",7
"233",7
"234",7
"235",7
"236",7
"237",7
"238",7
"239",6
"240",6
"241",6
"242",6
"243",6
"244",6
"245",6
"246",6
"247",6
"248",6
"249",6
"250",6
"251",6
"252",6
"253",6
"254",6
"255",6
"256",6
"257",6
"258",6
"259",6
"260",6
"261",6
"262",6
"263",6
"264",5
"265",5
"266",5
"267",5
"268",5
"269",5
"270",5
"271",5
"272",5
"273",5
"274",5
"275",5
"276",5
"277",5
"278",5
"279",5
"280",5
"281",5
"282",5
"283",5
"284",5
"285",5
"286",5
"287",5
"288",7
"289",7
"290",7
"291",7
"292",7
"293",7
"294",7
"295",7
"296",7
"297",7
"298",7
"299",7
"300",7
"301",7
"302",7
"303",7
"304",7
"305",7
"306",7
"307",7
"308",7
"309",7
"310",8
"311",8
"312",8
"313",8
"314",8
"315",8
"316",8
"317",8
"318",8
"319",8
"320",8
"321",8
"322",8
"323",8
"324",8
"325",8
"326",8
"327",8
"328",8
"329",8
"330",8
"331",8
"332",8
"333",8
"334",6
"335",6
"336",6
"337",6
"338",6
"339",6
"340",6
"341",6
"342",6
"343",6
"344",6
"345",6
"346",6
"347",6
"348",6
"349",6
"350",6
"351",6
"352",6
"353",6
"354",6
"355",6
"356",6
"357",6
"358",6
"359",6
"360",6
"361",7
"362",7
"363",7
"364",7
"365",7
"366",7
"367",7
"368",7
"369",7
"370",7
"371",7
"372",7
"373",7
"374",7
"375",7
"376",7
"377",9
"378",9
"379",9
"380",9
"381",9
"382",9
"383",9
"384",9
"385",9
"386",9
"387",9
"388",9
"389",9
"390",9
"391",9
"392",10
"393",10
"394",10
"395",10
"396",10
"397",10
"398",10
"399",10
"400",10
"401",10
"402",10
"403",10
"404",10
"405",10
"406",10
"407",10
"408",10
"409",10
"410",10
"411",10
"412",10
"413",8
"414",8
"415",8
"416",8
"417",8
"418",8
"419",8
"420",8
