"index","time","score","cls"
"1",2020-01-30 00:00:00,7,"Fair"
"2",2020-01-30 00:05:00,7,"Fair"
"3",2020-01-30 00:10:00,7,"Fair"
"4",2020-01-30 00:15:00,7,"Fair"
"5",2020-01-30 00:20:00,7,"Fair"
"6",2020-01-30 00:25:00,7,"Fair"
"7",2020-01-30 00:30:00,7,"Fair"
"8",2020-01-30 00:35:00,7,"Fair"
"9",2020-01-30 00:40:00,7,"Fair"
"10",2020-01-30 00:45:00,7,"Fair"
"11",2020-01-30 00:50:00,7,"Fair"
"12",2020-01-30 00:55:00,7,"Fair"
"13",2020-01-30 01:00:00,7,"Fair"
"14",2020-01-30 01:05:00,7,"Fair"
"15",2020-01-30 01:10:00,7,"Fair"
"16",2020-01-30 01:15:00,7,"Fair"
"17",2020-01-30 01:20:00,7,"Fair"
"18",2020-01-30 01:25:00,7,"Fair"
"19",2020-01-30 01:30:00,7,"Fair"
"20",2020-01-30 01:35:00,7,"Fair"
"21",2020-01-30 01:40:00,7,"Fair"
"22",2020-01-30 01:45:00,7,"Fair"
"23",2020-01-30 01:50:00,7,"Fair"
"24",2020-01-30 01:55:00,7,"Fair"
"25",2020-01-30 02:00:00,7,"Fair"
"26",2020-01-30 02:05:00,7,"Fair"
"27",2020-01-30 02:10:00,7,"Fair"
"28",2020-01-30 02:15:00,7,"Fair"
"29",2020-01-30 02:20:00,7,"Fair"
"30",2020-01-30 02:25:00,7,"Fair"
"31",2020-01-30 02:30:00,7,"Fair"
"32",2020-01-30 02:35:00,7,"Fair"
"33",2020-01-30 02:40:00,7,"Fair"
"34",2020-01-30 02:45:00,7,"Fair"
"35",2020-01-30 02:50:00,7,"Fair"
"36",2020-01-30 02:55:00,7,"Fair"
"37",2020-01-30 03:00:00,7,"Fair"
"38",2020-01-30 03:05:00,7,"Fair"
"39",2020-01-30 03:10:00,7,"Fair"
"40",2020-01-30 03:15:00,7,"Fair"
"41",2020-01-30 03:20:00,7,"Fair"
"42",2020-01-30 03:25:00,7,"Fair"
"43",2020-01-30 03:30:00,7,"Fair"
"44",2020-01-30 03:35:00,7,"Fair"
"45",2020-01-30 03:40:00,7,"Fair"
"46",2020-01-30 03:45:00,7,"Fair"
"47",2020-01-30 03:50:00,7,"Fair"
"48",2020-01-30 03:55:00,7,"Fair"
"49",2020-01-30 04:00:00,7,"Fair"
"50",2020-01-30 04:05:00,7,"Fair"
"51",2020-01-30 04:10:00,7,"Fair"
"52",2020-01-30 04:15:00,7,"Fair"
"53",2020-01-30 04:20:00,7,"Fair"
"54",2020-01-30 04:25:00,7,"Fair"
"55",2020-01-30 04:30:00,7,"Fair"
"56",2020-01-30 04:35:00,7,"Fair"
"57",2020-01-30 04:40:00,7,"Fair"
"58",2020-01-30 04:45:00,7,"Fair"
"59",2020-01-30 04:50:00,7,"Fair"
"60",2020-01-30 04:55:00,8,"Good"
"61",2020-01-30 05:00:00,8,"Good"
"62",2020-01-30 05:05:00,8,"Good"
"63",2020-01-30 05:10:00,8,"Good"
"64",2020-01-30 05:15:00,8,"Good"
"65",2020-01-30 05:20:00,8,"Good"
"66",2020-01-30 05:25:00,8,"Good"
"67",2020-01-30 05:30:00,8,"Good"
"68",2020-01-30 05:35:00,8,"Good"
"69",2020-01-30 05:40:00,8,"Good"
"70",2020-01-30 05:45:00,8,"Good"
"71",2020-01-30 05:50:00,8,"Good"
"72",2020-01-30 05:55:00,8,"Good"
"73",2020-01-30 06:00:00,8,"Good"
"74",2020-01-30 06:05:00,8,"Good"
"75",2020-01-30 06:10:00,8,"Good"
"76",2020-01-30 06:15:00,8,"Good"
"77",2020-01-30 06:20:00,8,"Good"
"78",2020-01-30 06:25:00,8,"Good"
"79",2020-01-30 06:30:00,8,"Good"
"80",2020-01-30 06:35:00,8,"Good"
"81",2020-01-30 06:40:00,8,"Good"
"82",2020-01-30 06:45:00,8,"Good"
"83",2020-01-30 06:50:00,8,"Good"
"84",2020-01-30 06:55:00,8,"Good"
"85",2020-01-30 07:00:00,8,"Good"
"86",2020-01-30 07:05:00,8,"Good"
"87",2020-01-30 07:10:00,8,"Good"
"88",2020-01-30 07:15:00,8,"Good"
"89",2020-01-30 07:20:00,8,"Good"
"90",2020-01-30 07:25:00,8,"Good"
"91",2020-01-30 07:30:00,8,"Good"
"92",2020-01-30 07:35:00,8,"Good"
"93",2020-01-30 07:40:00,8,"Good"
"94",2020-01-30 07:45:00,8,"Good"
"95",2020-01-30 07:50:00,8,"Good"
"96",2020-01-30 07:55:00,8,"Good"
"97",2020-01-30 08:00:00,8,"Good"
"98",2020-01-30 08:05:00,8,"Good"
"99",2020-01-30 08:10:00,8,"Good"
"100",2020-01-30 08:15:00,8,"Good"
"101",2020-01-30 08:20:00,8,"Good"
"102",2020-01-30 08:25:00,8,"Good"
"103",2020-01-30 08:30:00,8,"Good"
"104",2020-01-30 08:35:00,8,"Good"
"105",2020-01-30 08:40:00,8,"Good"
"106",2020-01-30 08:45:00,8,"Good"
"107",2020-01-30 08:50:00,8,"Good"
"108",2020-01-30 08:55:00,8,"Good"
"109",2020-01-30 09:00:00,7,"Fair"
"110",2020-01-30 09:05:00,7,"Fair"
"111",2020-01-30 09:10:00,7,"Fair"
"112",2020-01-30 09:15:00,7,"Fair"
"113",2020-01-30 09:20:00,7,"Fair"
"114",2020-01-30 09:25:00,7,"Fair"
"115",2020-01-30 09:30:00,7,"Fair"
"116",2020-01-30 09:35:00,7,"Fair"
"117",2020-01-30 09:40:00,7,"Fair"
"118",2020-01-30 09:45:00,7,"Fair"
"119",2020-01-30 09:50:00,7,"Fair"
"120",2020-01-30 09:55:00,7,"Fair"
"121",2020-01-30 10:00:00,7,"Fair"
"122",2020-01-30 10:05:00,7,"Fair"
"123",2020-01-30 10:10:00,7,"Fair"
"124",2020-01-30 10:15:00,7,"Fair"
"125",2020-01-30 10:20:00,7,"Fair"
"126",2020-01-30 10:25:00,7,"Fair"
"127",2020-01-30 10:30:00,7,"Fair"
"128",2020-01-30 10:35:00,7,"Fair"
"129",2020-01-30 10:40:00,7,"Fair"
"130",2020-01-30 10:45:00,7,"Fair"
"131",2020-01-30 10:50:00,7,"Fair"
"132",2020-01-30 10:55:00,7,"Fair"
"133",2020-01-30 11:00:00,5,"Fair"
"134",2020-01-30 11:05:00,5,"Fair"
"135",2020-01-30 11:10:00,5,"Fair"
"136",2020-01-30 11:15:00,5,"Fair"
"137",2020-01-30 11:20:00,5,"Fair"
"138",2020-01-30 11:25:00,5,"Fair"
"139",2020-01-30 11:30:00,5,"Fair"
"140",2020-01-30 11:35:00,5,"Fair"
"141",2020-01-30 11:40:00,5,"Fair"
"142",2020-01-30 11:45:00,5,"Fair"
"143",2020-01-30 11:50:00,5,"Fair"
"144",2020-01-30 11:55:00,5,"Fair"
"145",2020-01-30 12:00:00,5,"Fair"
"146",2020-01-30 12:05:00,5,"Fair"
"147",2020-01-30 12:10:00,5,"Fair"
"148",2020-01-30 12:15:00,5,"Fair"
"149",2020-01-30 12:20:00,5,"Fair"
"150",2020-01-30 12:25:00,5,"Fair"
"151",2020-01-30 12:30:00,5,"Fair"
"152",2020-01-30 12:35:00,5,"Fair"
"153",2020-01-30 12:40:00,5,"Fair"
"154",2020-01-30 12:45:00,5,"Fair"
"155",2020-01-30 12:50:00,5,"Fair"
"156",2020-01-30 12:55:00,5,"Fair"
"157",2020-01-30 13:00:00,5,"Fair"
"158",2020-01-30 13:05:00,5,"Fair"
"159",2020-01-30 13:10:00,7,"Fair"
"160",2020-01-30 13:15:00,7,"Fair"
"161",2020-01-30 13:20:00,7,"Fair"
"162",2020-01-30 13:25:00,7,"Fair"
"163",2020-01-30 13:30:00,7,"Fair"
"164",2020-01-30 13:35:00,7,"Fair"
"165",2020-01-30 13:40:00,7,"Fair"
"166",2020-01-30 13:45:00,7,"Fair"
"167",2020-01-30 13:50:00,7,"Fair"
"168",2020-01-30 13:55:00,7,"Fair"
"169",2020-01-30 14:00:00,7,"Fair"
"170",2020-01-30 14:05:00,7,"Fair"
"171",2020-01-30 14:10:00,7,"Fair"
"172",2020-01-30 14:15:00,7,"Fair"
"173",2020-01-30 14:20:00,7,"Fair"
"174",2020-01-30 14:25:00,7,"Fair"
"175",2020-01-30 14:30:00,7,"Fair"
"176",2020-01-30 14:35:00,7,"Fair"
"177",2020-01-30 14:40:00,6,"Fair"
"178",2020-01-30 14:45:00,6,"Fair"
"179",2020-01-30 14:50:00,6,"Fair"
"180",2020-01-30 14:55:00,6,"Fair"
"181",2020-01-30 15:00:00,6,"Fair"
"182",2020-01-30 15:05:00,6,"Fair"
"183",2020-01-30 15:10:00,6,"Fair"
"184",2020-01-30 15:15:00,6,"Fair"
"185",2020-01-30 15:20:00,6,"Fair"
"186",2020-01-30 15:25:00,6,"Fair"
"187",2020-01-30 15:30:00,6,"Fair"
"188",2020-01-30 15:35:00,6,"Fair"
"189",2020-01-30 15:40:00,6,"Fair"
"190",2020-01-30 15:45:00,6,"Fair"
"191",2020-01-30 15:50:00,6,"Fair"
"192",2020-01-30 15:55:00,6,"Fair"
"193",2020-01-30 16:00:00,6,"Fair"
"194",2020-01-30 16:05:00,6,"Fair"
"195",2020-01-30 16:10:00,6,"Fair"
"196",2020-01-30 16:15:00,6,"Fair"
"197",2020-01-30 16:20:00,6,"Fair"
"198",2020-01-30 16:25:00,6,"Fair"
"199",2020-01-30 16:30:00,6,"Fair"
"200",2020-01-30 16:35:00,6,"Fair"
"201",2020-01-30 16:40:00,6,"Fair"
"202",2020-01-30 16:45:00,6,"Fair"
"203",2020-01-30 16:50:00,6,"Fair"
"204",2020-01-30 16:55:00,6,"Fair"
"205",2020-01-30 17:00:00,6,"Fair"
"206",2020-01-30 17:05:00,6,"Fair"
"207",2020-01-30 17:10:00,6,"Fair"
"208",2020-01-30 17:15:00,6,"Fair"
"209",2020-01-30 17:20:00,6,"Fair"
"210",2020-01-30 17:25:00,6,"Fair"
"211",2020-01-30 17:30:00,6,"Fair"
"212",2020-01-30 17:35:00,6,"Fair"
"213",2020-01-30 17:40:00,6,"Fair"
"214",2020-01-30 17:45:00,6,"Fair"
"215",2020-01-30 17:50:00,6,"Fair"
"216",2020-01-30 17:55:00,6,"Fair"
"217",2020-01-30 18:00:00,6,"Fair"
"218",2020-01-30 18:05:00,6,"Fair"
"219",2020-01-30 18:10:00,6,"Fair"
"220",2020-01-30 18:15:00,6,"Fair"
"221",2020-01-30 18:20:00,6,"Fair"
"222",2020-01-30 18:25:00,6,"Fair"
"223",2020-01-30 18:30:00,6,"Fair"
"224",2020-01-30 18:35:00,6,"Fair"
"225",2020-01-30 18:40:00,6,"Fair"
"226",2020-01-30 18:45:00,6,"Fair"
"227",2020-01-30 18:50:00,6,"Fair"
"228",2020-01-30 18:55:00,6,"Fair"
"229",2020-01-30 19:00:00,6,"Fair"
"230",2020-01-30 19:05:00,6,"Fair"
"231",2020-01-30 19:10:00,6,"Fair"
"232",2020-01-30 19:15:00,6,"Fair"
"233",2020-01-30 19:20:00,6,"Fair"
"234",2020-01-30 19:25:00,6,"Fair"
"235",2020-01-30 19:30:00,6,"Fair"
"236",2020-01-30 19:35:00,6,"Fair"
"237",2020-01-30 19:40:00,5,"Fair"
"238",2020-01-30 19:45:00,5,"Fair"
"239",2020-01-30 19:50:00,5,"Fair"
"240",2020-01-30 19:55:00,5,"Fair"
"241",2020-01-30 20:00:00,5,"Fair"
"242",2020-01-30 20:05:00,5,"Fair"
"243",2020-01-30 20:10:00,5,"Fair"
"244",2020-01-30 20:15:00,5,"Fair"
"245",2020-01-30 20:20:00,5,"Fair"
"246",2020-01-30 20:25:00,5,"Fair"
"247",2020-01-30 20:30:00,5,"Fair"
"248",2020-01-30 20:35:00,5,"Fair"
"249",2020-01-30 20:40:00,5,"Fair"
"250",2020-01-30 20:45:00,5,"Fair"
"251",2020-01-30 20:50:00,5,"Fair"
"252",2020-01-30 20:55:00,5,"Fair"
"253",2020-01-30 21:00:00,5,"Fair"
"254",2020-01-30 21:05:00,5,"Fair"
"255",2020-01-30 21:10:00,5,"Fair"
"256",2020-01-30 21:15:00,5,"Fair"
"257",2020-01-30 21:20:00,4,"Poor"
"258",2020-01-30 21:25:00,4,"Poor"
"259",2020-01-30 21:30:00,4,"Poor"
"260",2020-01-30 21:35:00,4,"Poor"
"261",2020-01-30 21:40:00,4,"Poor"
"262",2020-01-30 21:45:00,4,"Poor"
"263",2020-01-30 21:50:00,4,"Poor"
"264",2020-01-30 21:55:00,4,"Poor"
"265",2020-01-30 22:00:00,4,"Poor"
"266",2020-01-30 22:05:00,4,"Poor"
"267",2020-01-30 22:10:00,4,"Poor"
"268",2020-01-30 22:15:00,4,"Poor"
"269",2020-01-30 22:20:00,4,"Poor"
"270",2020-01-30 22:25:00,4,"Poor"
"271",2020-01-30 22:30:00,4,"Poor"
"272",2020-01-30 22:35:00,4,"Poor"
"273",2020-01-30 22:40:00,4,"Poor"
"274",2020-01-30 22:45:00,4,"Poor"
"275",2020-01-30 22:50:00,4,"Poor"
"276",2020-01-30 22:55:00,4,"Poor"
"277",2020-01-30 23:00:00,4,"Poor"
"278",2020-01-30 23:05:00,4,"Poor"
"279",2020-01-30 23:10:00,5,"Fair"
"280",2020-01-30 23:15:00,5,"Fair"
"281",2020-01-30 23:20:00,5,"Fair"
"282",2020-01-30 23:25:00,5,"Fair"
"283",2020-01-30 23:30:00,5,"Fair"
"284",2020-01-30 23:35:00,5,"Fair"
"285",2020-01-30 23:40:00,5,"Fair"
"286",2020-01-30 23:45:00,5,"Fair"
"287",2020-01-30 23:50:00,5,"Fair"
"288",2020-01-30 23:55:00,5,"Fair"
"289",2020-01-31 00:00:00,5,"Fair"
"290",2020-01-31 00:05:00,5,"Fair"
"291",2020-01-31 00:10:00,5,"Fair"
"292",2020-01-31 00:15:00,5,"Fair"
"293",2020-01-31 00:20:00,5,"Fair"
"294",2020-01-31 00:25:00,5,"Fair"
"295",2020-01-31 00:30:00,5,"Fair"
"296",2020-01-31 00:35:00,5,"Fair"
"297",2020-01-31 00:40:00,5,"Fair"
"298",2020-01-31 00:45:00,5,"Fair"
"299",2020-01-31 00:50:00,5,"Fair"
"300",2020-01-31 00:55:00,5,"Fair"
"301",2020-01-31 01:00:00,5,"Fair"
"302",2020-01-31 01:05:00,5,"Fair"
"303",2020-01-31 01:10:00,7,"Fair"
"304",2020-01-31 01:15:00,7,"Fair"
"305",2020-01-31 01:20:00,7,"Fair"
"306",2020-01-31 01:25:00,7,"Fair"
"307",2020-01-31 01:30:00,7,"Fair"
"308",2020-01-31 01:35:00,7,"Fair"
"309",2020-01-31 01:40:00,7,"Fair"
"310",2020-01-31 01:45:00,7,"Fair"
"311",2020-01-31 01:50:00,7,"Fair"
"312",2020-01-31 01:55:00,7,"Fair"
"313",2020-01-31 02:00:00,7,"Fair"
"314",2020-01-31 02:05:00,7,"Fair"
"315",2020-01-31 02:10:00,7,"Fair"
"316",2020-01-31 02:15:00,7,"Fair"
"317",2020-01-31 02:20:00,7,"Fair"
"318",2020-01-31 02:25:00,7,"Fair"
"319",2020-01-31 02:30:00,7,"Fair"
"320",2020-01-31 02:35:00,7,"Fair"
"321",2020-01-31 02:40:00,7,"Fair"
"322",2020-01-31 02:45:00,7,"Fair"
"323",2020-01-31 02:50:00,5,"Fair"
"324",2020-01-31 02:55:00,5,"Fair"
"325",2020-01-31 03:00:00,5,"Fair"
"326",2020-01-31 03:05:00,5,"Fair"
"327",2020-01-31 03:10:00,5,"Fair"
"328",2020-01-31 03:15:00,5,"Fair"
"329",2020-01-31 03:20:00,5,"Fair"
"330",2020-01-31 03:25:00,5,"Fair"
"331",2020-01-31 03:30:00,5,"Fair"
"332",2020-01-31 03:35:00,5,"Fair"
"333",2020-01-31 03:40:00,5,"Fair"
"334",2020-01-31 03:45:00,5,"Fair"
"335",2020-01-31 03:50:00,5,"Fair"
"336",2020-01-31 03:55:00,5,"Fair"
"337",2020-01-31 04:00:00,5,"Fair"
"338",2020-01-31 04:05:00,5,"Fair"
